,Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,CONDITION,ALLERGIES,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Albumin [Mass/volume] in Serum or Plasma,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,American house dust mite IgE Ab in Serum,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin.total [Mass/volume] in Urine by Test strip,Body Height,Body Mass Index,Body Weight,Body mass index (BMI) [Percentile] Per age and gender,Body temperature,Calcium,Carbon Dioxide,Cat dander IgE Ab in Serum,Chloride,Cladosporium herbarum IgE Ab in Serum,Codfish IgE Ab in Serum,Common Ragweed IgE Ab in Serum,Cow milk IgE Ab in Serum,Creatinine,DALY,DXA [T-score] Bone density,Diastolic Blood Pressure,Egg white IgE Ab in Serum,Erythrocyte distribution width [Entitic volume] by Automated count,Erythrocytes [#/volume] in Blood by Automated count,Estimated Glomerular Filtration Rate,FEV1/FVC,Globulin [Mass/volume] in Serum by calculation,Glomerular filtration rate/1.73 sq M.predicted,Glucose,Glucose [Mass/volume] in Urine by Test strip,Head Occipital-frontal circumference,Heart rate,Hematocrit [Volume Fraction] of Blood,Hematocrit [Volume Fraction] of Blood by Automated count,Hemoglobin A1c/Hemoglobin.total in Blood,Hemoglobin [Mass/volume] in Blood,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method,High Density Lipoprotein Cholesterol,History of Hospitalizations+Outpatient visits,Honey bee IgE Ab in Serum,Ketones [Mass/volume] in Urine by Test strip,Latex IgE Ab in Serum,Left ventricular Ejection fraction,Leukocytes [#/volume] in Blood by Automated count,Low Density Lipoprotein Cholesterol,Lymph nodes with isolated tumor cells [#] in Cancer specimen by Light microscopy,Lymph nodes with macrometastases [#] in Cancer specimen by Light microscopy,Lymph nodes with micrometastases [#] in Cancer specimen by Light microscopy,MCH [Entitic mass] by Automated count,MCHC [Mass/volume] by Automated count,MCV [Entitic volume] by Automated count,Mental health Outpatient Note,Microalbumin Creatinine Ratio,NT-proBNP,Oxygen saturation in Arterial blood,Pain severity - 0-10 verbal numeric rating [Score] - Reported,Peanut IgE Ab in Serum,Percentage area affected by eczema Head and Neck,Percentage area affected by eczema Lower extremitiy - bilateral,Percentage area affected by eczema Trunk,Percentage area affected by eczema Upper extremitiy - bilateral,Platelet distribution width [Entitic volume] in Blood by Automated count,Platelet mean volume [Entitic volume] in Blood by Automated count,Platelets [#/volume] in Blood by Automated count,Polyp size greatest dimension by CAP cancer protocols,Potassium,Prostate specific Ag [Mass/volume] in Serum or Plasma,Protein [Mass/volume] in Serum or Plasma,Protein [Mass/volume] in Urine by Test strip,QALY,QOLS,RBC Auto (Bld) [#/Vol],RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol],Respiratory rate,Shrimp IgE Ab in Serum,Size.maximum dimension in Tumor,Sodium,Soybean IgE Ab in Serum,Specific gravity of Urine by Test strip,Systolic Blood Pressure,Thyrotropin [Units/volume] in Serum or Plasma,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,Total Cholesterol,Total score [MMSE],Triglycerides,Urea Nitrogen,WBC Auto (Bld) [#/Vol],Walnut IgE Ab in Serum,Weight difference [Mass difference] --pre dialysis - post dialysis,Weight-for-length Per age and sex,Wheat IgE Ab in Serum,White oak IgE Ab in Serum,pH of Urine by Test strip
0,1d604da9-9a81-4ba9-80c2-de3375d59b40,1989-05-25,,999-76-6866,S99984236,X19277260X,Mr.,José Eduardo181,Gómez206,M,white,hispanic,M,Marigot  Saint Andrew Parish  DM,427 Balistreri Way Unit 19,Chicopee,Massachusetts,Hampden County,1013.0,42.22835382315942,-72.56295055096882,271227.08,1334.88,Chronic sinusitis (disorder),,,,,,,,,181.0,20.1,65.8,,,,,,,,,,,,0.1,,83.0,,45.7,4.2,,,,,,,,87.0,,40.0,,13.3,,,,,,,,9.5,,,,,29.9,34.8,93.9,,,,,3.0,,,,,,495.1,9.5,188.6,,,,,,19.9,1.0,,,13.0,,,,,,107.0,,,,,,,,,,,,,
1,034e9e3b-2def-4559-bb2a-7850888ae060,1983-11-14,,999-73-5361,S99962402,X88275464X,Mr.,Milo271,Feil794,M,white,nonhispanic,M,Danvers  Massachusetts  US,422 Farrell Path Unit 69,Somerville,Massachusetts,Middlesex County,2143.0,42.36069732777065,-71.12653095133149,793946.01,3204.49,Viral sinusitis (disorder),,,,,,,,,193.3,23.5,87.8,,,,,,,,,,,,0.0,,82.0,,41.3,4.8,,,,,,,,77.0,,39.9,,15.1,,71.4,,,,,,9.5,76.8,,,,31.4,35.1,86.2,,,,,2.0,,,,,,157.9,9.6,297.9,,,,,,26.0,1.0,,,14.0,,,,,,119.0,,,170.6,,112.0,,,,,,,,
2,10339b10-3cd1-4ac3-ac13-ec26728cb592,1992-06-02,,999-27-3385,S99972682,X73754411X,Mr.,Jayson808,Fadel536,M,white,nonhispanic,M,Springfield  Massachusetts  US,1056 Harris Lane Suite 70,Chicopee,Massachusetts,Hampden County,1020.0,42.181642300277424,-72.60884222581657,574111.9,2606.4,Acute viral pharyngitis (disorder),,,,,,,,,165.0,23.8,64.7,71.3,,,,,,,,,,,0.0,,70.0,,45.4,5.4,,,,,,,,70.0,,37.7,,17.1,,,,,,,,4.1,,,,,27.9,34.0,86.0,,,,,1.0,,,,,,417.2,9.4,262.7,,,,,,17.0,1.0,,,15.0,,,,,,121.0,,,,,,,,,,,,,
3,8d4c4326-e9de-4f45-9a4c-f8c36bff89ae,1978-05-27,,999-85-4926,S99974448,X40915583X,Mrs.,Mariana775,Rutherford999,M,white,nonhispanic,F,Yarmouth  Massachusetts  US,999 Kuhn Forge,Lowell,Massachusetts,Middlesex County,1851.0,42.63614335069588,-71.3432549217789,935630.3,8756.189999999999,Acute bronchitis (disorder),,,,,,,,,162.5,29.3,77.4,,37.1,,,,,,,,,,0.0,,87.0,,45.7,4.2,,,,,,,,70.0,,45.0,,12.3,,66.9,,,,,,4.6,86.9,,,,32.4,33.9,86.3,,,,,3.0,,,,,,440.7,12.1,259.0,,,,,,31.0,1.0,,,13.0,,,,,,127.0,,,174.1,,101.8,,,,,,,,
4,f5dcd418-09fe-4a2f-baa0-3da800bd8c3a,1996-10-18,,999-60-7372,S99915787,X86772962X,Mr.,Gregorio366,Auer97,,white,nonhispanic,M,Patras  Achaea  GR,1050 Lindgren Extension Apt 38,Boston,Massachusetts,Suffolk County,2135.0,42.35243426303177,-71.02861042115062,598763.07,3772.2,Acute viral pharyngitis (disorder),,,,,,,,,169.6,22.2,63.8,81.9,37.8,,,,,,,,,,0.0,,84.0,,44.8,4.7,,,,,,,,83.0,,45.2,,16.2,,,,,,,,9.8,,,,,27.1,35.7,82.2,,,,,4.0,,,,,,358.4,9.7,437.5,,,,,,13.0,1.0,,,13.0,,,,,,108.0,,,,,,,,,,,,,
5,72c0b9ce-7aa4-430b-aaff-bd0ce7846e55,2017-07-27,,999-68-6630,,,,Jacinto644,Kris249,,white,nonhispanic,M,Beverly  Massachusetts  US,888 Hickle Ferry Suite 38,Springfield,Massachusetts,Hampden County,1106.0,42.151961474963535,-72.59895940376188,8718.66,1499.08,Acute viral pharyngitis (disorder),,,,,,,,,49.7,16.5,3.5,55.0,,,,,,,,,,,0.0,,88.0,,41.6,5.4,,,,,,,33.3,99.0,,39.3,,14.3,,,,,,,,4.9,,,,,29.6,33.6,91.0,,,,,0.0,,,,,,276.6,9.8,182.1,,,,,,0.0,1.0,,,16.0,,,,,,120.0,,,,,,,,,,52.1,,,
6,b1e9b0b9-da6e-4f68-b603-bd896a50ca86,2003-12-13,,999-73-2461,S99954048,,,Jimmie93,Harris789,,white,nonhispanic,F,Worcester  Massachusetts  US,201 Mitchell Lodge Unit 67,Pembroke,Massachusetts,Plymouth County,,42.07529152717956,-70.75703466334431,397548.14,3093.12,Viral sinusitis (disorder),,,,,,,,,110.5,19.3,23.6,94.3,,,,,,,,,,,0.0,,81.0,,42.8,4.2,,,,,,,,66.0,,42.1,,14.7,,,,,,,,5.8,,,,,29.1,34.6,91.1,,,,,1.0,,,,,,398.5,11.4,425.1,,,,,,6.0,1.0,,,12.0,,,,,,129.0,,,,,,,,,,,,,
7,01207ecd-9dff-4754-8887-4652eda231e2,2019-05-15,,999-81-4349,,,,Karyn217,Mueller846,,white,nonhispanic,F,New Bedford  Massachusetts  US,570 Abshire Forge Suite 32,Colrain,Massachusetts,Franklin County,,42.740219982868055,-72.72264767557297,26400.0,774.9599999999999,Acute bronchitis (disorder),,,,,,,,,49.9,,3.8,,,,,,,,,,,,0.0,,79.0,,40.9,4.1,,,,,,,33.5,69.0,,40.2,,15.5,,,,,,,,6.0,,,,,29.8,33.2,80.8,,,,,2.0,,,,,,377.9,10.4,273.4,,,,,,0.0,1.0,,,16.0,,,,,,112.0,,,,,,,,,,79.9,,,
8,b58731cc-2d8b-4c2d-b327-4cab771af3ef,1970-05-16,,999-90-2484,S99978036,X78170348X,Mrs.,Isabel214,Lucio648,M,white,hispanic,F,Santiago  Santiago Province  CL,335 Morar Highlands Apt 75,Fall River,Massachusetts,Bristol County,2720.0,41.68768444527544,-71.0557687821624,987310.04,14166.009999999997,Viral sinusitis (disorder),,,,,,,,,157.9,27.5,68.5,,,,,,,,,,,,0.0,,83.0,,42.4,4.6,,,,,,,,93.0,,46.4,,16.2,,69.9,,,,,,9.5,83.4,,,,27.7,33.0,92.7,,,,,3.0,,,,,,262.4,11.7,267.3,,,,,,39.0,1.0,,,13.0,,,,,,107.0,,,175.9,,113.2,,,,,,,,
9,cfee79fc-df05-476e-b274-43e09ea345db,2016-07-04,,999-15-5895,,,,Alva958,Krajcik437,,white,nonhispanic,F,Boston  Massachusetts  US,1048 Skiles Trailer,Walpole,Massachusetts,Norfolk County,2081.0,42.177370220648726,-71.28135315860652,80155.36,1599.08,Acute bronchitis (disorder),,,,,,,,,52.1,16.5,4.0,63.4,37.1,,,,,,,,,,0.0,,80.0,,45.7,4.8,,,,,,,35.0,91.0,,48.1,,12.9,,,,,,,,8.0,,,,,29.5,35.6,91.7,,,,,2.0,,,,,,198.8,10.8,336.4,,,,,,0.0,1.0,,,16.0,,,,,,118.0,,,,,,,,,,54.0,,,
